┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬─────┬──────┬───────┬───────────┬───────────┬───────────────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk │ rsd  │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼─────┼──────┼───────┼───────────┼───────────┼───────────────┼──────┼──────────┼─────┤
│    0    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │ 2000 │ 14880000 │   2000    │  2000   │ 14880000 │ 14880000 │ 1671448200000 │ '2022-12-19T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 600 │ 169.2 │  0  │ 11.8 │ -2000 │ -14880000 │   -2000   │   -14880000   │      │          │     │
│    1    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   2900    │   900   │ 6696000  │ 21576000 │ 1671448440000 │ '2022-12-19T11:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  900  │  6696000  │   -1100   │   -8184000    │ 900  │ 6696000  │ 1.5 │
│    2    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   3600    │   700   │ 5208000  │ 26784000 │ 1671448680000 │ '2022-12-19T11:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  700  │  5208000  │   -400    │   -2976000    │ 700  │ 5208000  │ 1.2 │
│    3    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   5000    │  1400   │ 10416000 │ 37200000 │ 1671448920000 │ '2022-12-19T11:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │ 1400  │ 10416000  │   1000    │    7440000    │ 1400 │ 10416000 │ 2.3 │
│    4    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   5100    │   100   │  744000  │ 37944000 │ 1671449040000 │ '2022-12-19T11:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  100  │  744000   │   1100    │    8184000    │ 100  │  744000  │ 0.2 │
│    5    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   5700    │   600   │ 4464000  │ 42408000 │ 1671449160000 │ '2022-12-19T11:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  600  │  4464000  │   1700    │   12648000    │ 600  │ 4464000  │  1  │
│    6    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   6600    │   900   │ 6696000  │ 49104000 │ 1671449280000 │ '2022-12-19T11:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  900  │  6696000  │   2600    │   19344000    │ 900  │ 6696000  │ 1.5 │
│    7    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │ 200  │ 1488000  │   6800    │   200   │ 1488000  │ 50592000 │ 1671455160000 │ '2022-12-19T13:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 600 │ 169.2 │  0  │ 1.2  │ -200  │ -1488000  │   2400    │   17856000    │      │          │     │
│    8    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   7600    │   800   │ 5952000  │ 56544000 │ 1671456360000 │ '2022-12-19T13:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  800  │  5952000  │   3200    │   23808000    │ 800  │ 5952000  │ 1.3 │
│    9    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   8600    │  1000   │ 7440000  │ 63984000 │ 1671457080000 │ '2022-12-19T13:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │ 1000  │  7440000  │   4200    │   31248000    │ 1000 │ 7440000  │ 1.7 │
│   10    │ 7.44 │ 7.44 │ 7.44 │ 7.44 │      │          │   9400    │   800   │ 5952000  │ 69936000 │ 1671457200000 │ '2022-12-19T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 169.2 │  0  │      │  800  │  5952000  │   5000    │   37200000    │ 800  │ 5952000  │ 1.3 │
