┌─────────┬─────┬─────┬─────┬─────┬───────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────────┬───────┬─────┬──────┬────────┬───────────┬───────────┬───────────────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  sd   │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │   abu   │  asd  │ auk │ rsd  │ bu-sd  │ bu-sd_val │ acum_busd │ acum_busd_val │  bu   │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼───────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────────┼───────┼─────┼──────┼────────┼───────────┼───────────┼───────────────┼───────┼──────────┼─────┤
│    0    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │ 1000  │ 600000  │   1000    │  1000   │  600000  │  600000   │ 1673601720000 │ '2023-01-13T09:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10484.6 │ 846.2 │  0  │ 1.2  │ -1000  │  -600000  │   -1000   │    -600000    │       │          │     │
│    1    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   1100    │   100   │  70000   │  670000   │ 1673602440000 │ '2023-01-13T09:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  100   │   70000   │   -900    │    -530000    │  100  │  70000   │  0  │
│    2    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   2400    │  1300   │  910000  │  1580000  │ 1673602920000 │ '2023-01-13T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  1300  │  910000   │    400    │    380000     │ 1300  │  910000  │ 0.1 │
│    3    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   2900    │   500   │  350000  │  1930000  │ 1673603160000 │ '2023-01-13T09:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  500   │  350000   │    900    │    730000     │  500  │  350000  │  0  │
│    4    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   3100    │   200   │  140000  │  2070000  │ 1673607360000 │ '2023-01-13T10:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  200   │  140000   │   1100    │    870000     │  200  │  140000  │  0  │
│    5    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   12100   │  9000   │ 6300000  │  8370000  │ 1673608200000 │ '2023-01-13T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  9000  │  6300000  │   10100   │    7170000    │ 9000  │ 6300000  │ 0.9 │
│    6    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   12200   │   100   │  70000   │  8440000  │ 1673616360000 │ '2023-01-13T13:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  100   │   70000   │   10200   │    7240000    │  100  │  70000   │  0  │
│    7    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │ 10000 │ 6000000 │   22200   │  10000  │ 6000000  │ 14440000  │ 1673618880000 │ '2023-01-13T14:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10484.6 │ 846.2 │  0  │ 11.8 │ -10000 │ -6000000  │    200    │    1240000    │       │          │     │
│    8    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   22400   │   200   │  140000  │ 14580000  │ 1673620560000 │ '2023-01-13T14:36:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  200   │  140000   │    400    │    1380000    │  200  │  140000  │  0  │
│    9    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   22600   │   200   │  140000  │ 14720000  │ 1673621160000 │ '2023-01-13T14:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │  200   │  140000   │    600    │    1520000    │  200  │  140000  │  0  │
│   10    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   75700   │  53100  │ 37170000 │ 51890000  │ 1673621520000 │ '2023-01-13T14:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │ 53100  │ 37170000  │   53700   │   38690000    │ 53100 │ 37170000 │ 5.1 │
│   11    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │   99500   │  23800  │ 16660000 │ 68550000  │ 1673621640000 │ '2023-01-13T14:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │ 23800  │ 16660000  │   77500   │   55350000    │ 23800 │ 16660000 │ 2.3 │
│   12    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │       │         │  147300   │  47800  │ 33460000 │ 102010000 │ 1673621760000 │ '2023-01-13T14:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10484.6 │ 846.2 │  0  │      │ 47800  │ 33460000  │  125300   │   88810000    │ 47800 │ 33460000 │ 4.6 │
└─────────┴─────┴─────┴─────┴─────┴───────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────────┴───────┴─────┴──────┴────────┴───────────┴───────────┴───────────────┴───────┴──────────┴─────┘

