"adjRatio","buyCount","buyForeignQuantity","buyForeignValue","buyQuantity","currentForeignRoom","date","dealVolume","priceAverage","priceBasic","priceClose","priceHigh","priceLow","priceOpen","propTradingNetDealValue","propTradingNetPTValue","propTradingNetValue","putthroughValue","putthroughVolume","sellCount","sellForeignQuantity","sellForeignValue","sellQuantity","symbol","totalValue"
1,0,0,0,0,2450000,"2016-10-11T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-10-10T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-10-07T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-10-06T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-10-05T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-10-04T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-10-03T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-30T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-29T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-28T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-27T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-26T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-23T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-22T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-21T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-20T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-19T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-16T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-15T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-14T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-13T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-12T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-09T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-08T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-07T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-06T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-05T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-09-01T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-31T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-30T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-29T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-26T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-25T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-24T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-23T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-22T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-19T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-18T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-17T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-16T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-15T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-12T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-11T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-10T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-09T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-08T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-05T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-04T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-03T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-02T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-08-01T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-29T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-28T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-27T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-26T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-25T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,2000,2450000,"2016-07-22T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-21T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-20T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-19T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,200,2450000,"2016-07-18T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-15T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-07-14T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-13T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-12T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-11T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-08T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-07T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-06T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-05T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-04T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-07-01T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-30T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-06-29T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-06-28T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-06-27T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-24T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-23T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-22T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1500,2450000,"2016-06-21T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,4000,2450000,"2016-06-20T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,3000,2450000,"2016-06-17T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-16T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,3000,2450000,"2016-06-15T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,2000,2450000,"2016-06-14T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,2000,2450000,"2016-06-13T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-10T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-09T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,400,2450000,"2016-06-08T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-07T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,600,2450000,"2016-06-06T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,500,2450000,"2016-06-03T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,3,0,0,700,2450000,"2016-06-02T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-06-01T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-05-31T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-30T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-05-27T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,500,2450000,"2016-05-26T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,600,2450000,"2016-05-25T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-05-24T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,500,2450000,"2016-05-23T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,500,2450000,"2016-05-20T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,500,2450000,"2016-05-19T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-05-18T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-05-17T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-05-16T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,500,2450000,"2016-05-13T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-12T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-11T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-10T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-09T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-06T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-05T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,1000,2450000,"2016-05-04T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,2000,2450000,"2016-04-29T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,2000,2450000,"2016-04-28T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,2500,2450000,"2016-04-27T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,1500,2450000,"2016-04-26T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,1000,2450000,"2016-04-25T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-22T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-21T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-20T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-04-19T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-15T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-04-14T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-04-13T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-12T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-11T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-08T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-07T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-06T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-05T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-04T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-04-01T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-31T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-30T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-29T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-28T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,2,0,0,100,2450000,"2016-03-25T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-24T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-23T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-22T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-21T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-18T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-17T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-16T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-15T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,0,0,0,0,2450000,"2016-03-14T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-11T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-10T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
1,1,0,0,100,2450000,"2016-03-09T00:00:00",0,2.2,2.2,2.2,2.2,2.2,2.2,,,,0,0,0,0,0,0,"DNF",0
