"adjRatio","buyCount","buyForeignQuantity","buyForeignValue","buyQuantity","currentForeignRoom","date","dealVolume","priceAverage","priceBasic","priceClose","priceHigh","priceLow","priceOpen","propTradingNetDealValue","propTradingNetPTValue","propTradingNetValue","putthroughValue","putthroughVolume","sellCount","sellForeignQuantity","sellForeignValue","sellQuantity","symbol","totalValue"
1,0,0,0,0,193239,"2022-12-12T00:00:00",0,3.3,3.3,3.3,3.3,3.3,3.3,,,,0,0,0,0,0,0,"CYC",0
1,0,0,0,100,193239,"2022-12-09T00:00:00",100,3.3,3.8,3.3,3.3,3.3,3.3,0,0,0,0,0,0,0,0,3800,"CYC",330000
1,0,0,0,0,193239,"2022-12-08T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-12-07T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-12-06T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-12-05T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-12-02T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,4,0,0,4600,"CYC",0
1,0,0,0,0,193239,"2022-12-01T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-30T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-29T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-28T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-25T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,3,0,0,3500,"CYC",0
1,0,0,0,0,193239,"2022-11-24T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-23T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-22T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-21T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-18T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,4,0,0,3518,"CYC",0
1,0,0,0,0,193239,"2022-11-17T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-16T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-15T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-14T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-11T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,4,0,0,3518,"CYC",0
1,0,0,0,0,193239,"2022-11-10T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-09T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-08T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-07T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-04T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,2,0,0,509,"CYC",0
1,0,0,0,0,193239,"2022-11-03T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-02T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-11-01T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-31T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,1,0,0,2,193239,"2022-10-28T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,4,0,0,3520,"CYC",0
1,0,0,0,0,193239,"2022-10-27T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-26T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-25T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-24T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-21T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,4,0,0,3700,"CYC",0
1,0,0,0,0,193239,"2022-10-20T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-19T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-18T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-17T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-14T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-13T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-12T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-11T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
1,0,0,0,0,193239,"2022-10-10T00:00:00",0,3.8,3.8,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,0,0,"CYC",0
