"price","change","match_qtty","side","time","total_vol"
10800,0,13900,"sd","14:45:02",164300
10800,0,100,"sd","14:29:55",150400
10900,100,500,"bu","14:29:36",150300
10800,0,400,"sd","14:28:54",149800
10800,0,600,"sd","14:27:28",149400
10800,0,800,"bu","14:26:47",148800
10800,0,300,"sd","14:25:38",148000
10800,0,100,"bu","14:22:21",147700
10700,-100,100,"sd","14:14:32",147600
10800,0,1000,"bu","14:14:30",147500
10800,0,200,"sd","14:10:07",146500
10800,0,100,"sd","14:07:47",146300
10800,0,1500,"sd","14:07:45",146200
10800,0,100,"sd","14:07:31",144700
10800,0,100,"sd","14:06:42",144600
10800,0,1000,"sd","14:06:40",144500
10700,-100,100,"sd","14:03:42",143500
10800,0,1000,"unknown","14:03:41",143400
10700,-100,500,"sd","13:56:27",142400
10700,-100,100,"sd","13:55:59",141900
10800,0,1000,"bu","13:55:58",141800
10700,-100,100,"sd","13:52:50",140800
10800,0,1000,"bu","13:52:49",140700
10700,-100,100,"sd","13:35:36",139700
10700,-100,1000,"sd","13:35:34",139600
10800,0,10000,"bu","13:35:32",138600
10700,-100,500,"sd","13:31:26",128600
10700,-100,600,"sd","13:27:44",128100
10800,0,6000,"sd","13:27:42",127500
10900,100,100,"bu","13:12:50",121500
10800,0,100,"sd","13:12:38",121400
10800,0,800,"sd","13:08:38",121300
10800,0,300,"sd","13:06:50",120500
10800,0,100,"sd","13:06:45",120200
10800,0,100,"sd","13:00:03",120100
10800,0,800,"sd","13:00:02",120000
10800,0,100,"sd","11:29:59",119200
10800,0,1000,"sd","11:29:58",119100
10800,0,100,"sd","11:20:32",118100
10800,0,1000,"sd","11:20:31",118000
10900,100,10000,"bu","11:20:30",117000
10900,100,100,"bu","11:06:40",107000
10800,0,100,"sd","11:03:02",106900
10800,0,1000,"sd","11:03:01",106800
10800,0,300,"sd","10:58:59",105800
10800,0,500,"sd","10:57:02",105500
10800,0,600,"sd","10:55:42",105000
10800,0,6900,"bu","10:55:40",104400
10700,-100,200,"sd","10:54:53",97500
10700,-100,500,"sd","10:54:33",97300
10800,0,5000,"bu","10:54:31",96800
10700,-100,500,"sd","10:54:16",91800
10800,0,5000,"bu","10:54:14",91300
10700,-100,500,"sd","10:54:04",86300
10800,0,5000,"bu","10:54:02",85800
10600,-200,200,"sd","10:53:17",80800
10600,-200,2000,"sd","10:53:15",80600
10700,-100,20000,"sd","10:53:13",78600
10700,-100,500,"sd","10:52:15",58600
10800,0,5000,"bu","10:52:13",58100
10700,-100,100,"sd","10:52:06",53100
10700,-100,1000,"sd","10:52:04",53000
10800,0,10000,"bu","10:52:02",52000
10700,-100,200,"sd","10:43:26",42000
10700,-100,100,"bu","10:43:02",41800
10600,-200,200,"sd","10:41:21",41700
10700,-100,2300,"bu","10:41:20",41500
10700,-100,500,"sd","10:39:42",39200
10700,-100,5000,"sd","10:39:41",38700
10700,-100,900,"bu","10:28:56",33700
10600,-200,800,"sd","10:27:06",32800
10700,-100,8300,"bu","10:27:05",32000
10700,-100,100,"sd","10:24:38",23700
10700,-100,1800,"bu","10:24:36",23600
10700,-100,200,"bu","10:24:35",21800
10700,-100,300,"bu","10:23:01",21600
10600,-200,100,"sd","10:22:39",21300
10700,-100,1100,"sd","10:22:38",21200
10600,-200,500,"sd","10:06:46",20100
10600,-200,900,"sd","10:05:26",19600
10700,-100,9100,"unknown","10:05:24",18700
10700,-100,400,"sd","10:01:26",9600
10700,-100,100,"sd","09:51:13",9200
10700,-100,200,"sd","09:50:48",9100
10700,-100,2900,"sd","09:50:47",8900
10700,-100,300,"sd","09:44:32",6000
10700,-100,3000,"sd","09:44:31",5700
10700,-100,300,"sd","09:41:44",2700
10700,-100,200,"sd","09:40:01",2400
10700,-100,2200,"sd","09:40:00",2200
