"price","change","match_qtty","side","time","total_vol"
5000,100,100,"bu","14:58:05",124900
4900,0,1000,"sd","14:57:44",124800
5000,100,100,"bu","14:56:41",123800
4900,0,1000,"sd","14:56:17",123700
5000,100,100,"bu","14:54:22",122700
4900,0,900,"sd","14:52:59",122600
4900,0,1000,"sd","14:52:12",121700
5000,100,100,"bu","14:49:05",120700
4900,0,1900,"sd","14:48:36",120600
5000,100,100,"bu","14:46:37",118700
5000,100,100,"bu","14:45:50",118600
4900,0,200,"sd","14:39:17",118500
5000,100,5000,"bu","14:30:22",118300
5000,100,1000,"bu","14:23:53",113300
5000,100,100,"bu","14:20:49",112300
4900,0,1900,"sd","14:18:50",112200
5000,100,100,"bu","14:16:06",110300
4900,0,100,"sd","14:09:45",110200
4900,0,10000,"sd","14:08:04",110100
5000,100,500,"bu","14:06:31",100100
5000,100,200,"bu","13:58:50",99600
5000,100,100,"bu","13:57:18",99400
5000,100,100,"bu","13:56:46",99300
5000,100,100,"bu","13:28:28",99200
4900,0,400,"sd","13:25:18",99100
4900,0,5000,"bu","13:25:07",98700
4900,0,2000,"bu","13:25:01",93700
4900,0,300,"bu","13:24:53",91700
4900,0,4000,"bu","13:24:35",91400
4900,0,5000,"bu","13:24:12",87400
4900,0,200,"bu","13:24:06",82400
4900,0,2000,"bu","13:24:02",82200
4900,0,2000,"bu","13:23:55",80200
4900,0,2000,"bu","13:23:21",78200
4900,0,200,"bu","13:22:19",76200
4900,0,100,"bu","13:19:53",76000
4900,0,100,"bu","13:19:41",75900
4900,0,100,"bu","13:19:37",75800
4900,0,200,"bu","13:19:23",75700
4900,0,200,"bu","13:19:15",75500
4900,0,500,"bu","13:15:04",75300
4900,0,300,"bu","13:01:59",74800
4900,0,100,"bu","13:00:05",74500
4900,0,500,"bu","13:00:04",74400
4900,0,100,"bu","13:00:02",73900
4900,0,500,"bu","11:29:15",73800
4900,0,100,"bu","11:23:50",73300
4900,0,1000,"bu","11:20:16",73200
4900,0,3300,"bu","11:16:13",72200
4900,0,1200,"sd","11:14:30",68900
4900,0,2900,"bu","11:09:50",67700
4900,0,100,"bu","11:04:17",64800
4900,0,100,"bu","11:04:00",64700
4900,0,400,"bu","11:03:32",64600
4900,0,1000,"bu","11:03:14",64200
4900,0,4000,"bu","11:01:17",63200
4900,0,1000,"bu","10:58:40",59200
4900,0,1000,"bu","10:58:12",58200
4900,0,500,"bu","10:54:17",57200
4900,0,6600,"unknown","10:53:00",56700
4900,0,3400,"bu","10:50:37",50100
4900,0,800,"bu","10:49:29",46700
4900,0,100,"sd","10:47:36",45900
4900,0,19900,"bu","10:47:10",45800
4900,0,3000,"sd","10:41:35",25900
4900,0,3900,"sd","10:31:20",22900
4900,0,8200,"unknown","10:21:45",19000
5000,100,100,"bu","10:14:09",10800
5000,100,100,"bu","10:08:50",10700
4900,0,200,"sd","09:50:27",10600
5000,100,300,"bu","09:47:09",10400
5000,100,100,"bu","09:43:58",10100
4900,0,4100,"bu","09:39:08",10000
4900,0,5900,"sd","09:38:04",5900
