┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬───────────┬───────────────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼───────────┼───────────────┼──────┼──────────┼─────┤
│    0    │ 27.8 │ 27.8 │ 27.8 │ 27.8 │ 100 │ 2780000 │    100    │   100   │ 2780000  │  2780000  │ 1673860440000 │ '2023-01-16T09:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10  │ 520 │  0  │ 10  │  100  │  2780000  │    100    │    2780000    │      │          │     │
│    1    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │    400    │   300   │ 8220000  │ 11000000  │ 1673861040000 │ '2023-01-16T09:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -300  │ -8220000  │   -200    │   -5440000    │ 300  │ 8220000  │ 0.6 │
│    2    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │   1100    │   700   │ 19180000 │ 30180000  │ 1673861160000 │ '2023-01-16T09:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -700  │ -19180000 │   -900    │   -24620000   │ 700  │ 19180000 │ 1.3 │
│    3    │ 27.5 │ 27.5 │ 27.5 │ 27.5 │     │         │   1300    │   200   │ 5500000  │ 35680000  │ 1673863200000 │ '2023-01-16T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -200  │ -5500000  │   -1100   │   -30120000   │ 200  │ 5500000  │ 0.4 │
│    4    │ 27.5 │ 27.5 │ 27.5 │ 27.5 │     │         │   4100    │  2800   │ 77000000 │ 112680000 │ 1673863320000 │ '2023-01-16T10:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -2800 │ -77000000 │   -3900   │  -107120000   │ 2800 │ 77000000 │ 5.4 │
│    5    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │   4400    │   300   │ 8220000  │ 120900000 │ 1673865120000 │ '2023-01-16T10:32:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -300  │ -8220000  │   -4200   │  -115340000   │ 300  │ 8220000  │ 0.6 │
│    6    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │   4900    │   500   │ 13700000 │ 134600000 │ 1673865240000 │ '2023-01-16T10:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -500  │ -13700000 │   -4700   │  -129040000   │ 500  │ 13700000 │  1  │
│    7    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │   5000    │   100   │ 2740000  │ 137340000 │ 1673866320000 │ '2023-01-16T10:52:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -100  │ -2740000  │   -4800   │  -131780000   │ 100  │ 2740000  │ 0.2 │
│    8    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │   5200    │   200   │ 5480000  │ 142820000 │ 1673866440000 │ '2023-01-16T10:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -200  │ -5480000  │   -5000   │  -137260000   │ 200  │ 5480000  │ 0.4 │
│    9    │ 27.4 │ 27.4 │ 27.4 │ 27.4 │     │         │   5300    │   100   │ 2740000  │ 145560000 │ 1673866560000 │ '2023-01-16T10:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 520 │  0  │     │ -100  │ -2740000  │   -5100   │  -140000000   │ 100  │ 2740000  │ 0.2 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴───────────┴───────────────┴──────┴──────────┴─────┘

