"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
271.9,300,3700000,6150000,2450000,8600000,3266228.1,28284210.5,-0.1,2382.5,77.2,2.5,500,300,3700000,12300,"2023-02-14T09:14:00.000Z",1676366040000,12300,12250,12250,71.4,28.6,0,1.8,0.1,,0.4,200,700,700,,8600000,6150000,2450000,
271.9,0,10000,6150000,6140000,12290000,3266228.1,28284210.5,0.1,2382.5,77.2,0,,-300,-3690000,12300,"2023-02-14T09:16:00.000Z",1676366160000,12300,12300,12300,0,100,0,,0.1,,Infinity,300,300,1000,,3690000,,3690000,
271.9,-6600,-81150000,6150000,87300000,93450000,3266228.1,28284210.5,3.2,2382.5,77.2,0,,-6600,-81160000,12250,"2023-02-14T09:18:00.000Z",1676366280000,12300,12250,12300,0,100,0,,2.8,,Infinity,6600,6600,7600,,81160000,,81160000,
271.9,-6100,-75050000,12250000,87300000,99550000,3266228.1,28284210.5,-0.2,2382.5,77.2,Infinity,500,500,6100000,12200,"2023-02-14T09:26:00.000Z",1676366760000,12200,12200,12200,100,0,0,1.8,,,0,,500,8100,,6100000,6100000,,
271.9,-6700,-82240000,13460000,95700000,109160000,3266228.1,28284210.5,0.3,2382.5,77.2,0.1,100,-600,-7190000,12000,"2023-02-14T09:56:00.000Z",1676368560000,12100,12000,12100,12.5,87.5,0,0.4,0.3,,7,700,800,8900,,9610000,1210000,8400000,
271.9,-6700,-82235000,14660000,96895000,111555000,3266228.1,28284210.5,0,2382.5,77.2,1,100,0,5000,11950,"2023-02-14T09:58:00.000Z",1676368680000,12000,11950,12000,50,50,0,0.4,0,,1,100,200,9100,,2395000,1200000,1195000,
271.9,-6600,-81035000,15860000,96895000,112755000,3266228.1,28284210.5,0,2382.5,77.2,Infinity,100,100,1200000,12000,"2023-02-14T10:00:00.000Z",1676368800000,12000,12000,12000,100,0,0,0.4,,,0,,100,9200,,1200000,1200000,,
271.9,-8500,-103735000,17060000,120795000,137855000,3266228.1,28284210.5,0.9,2382.5,77.2,0.1,100,-1900,-22700000,11950,"2023-02-14T10:02:00.000Z",1676368920000,12000,11950,12000,4.8,95.2,0,0.4,0.8,,20,2000,2100,11300,,25100000,1200000,23900000,
271.9,-8500,-103735000,17060000,120795000,161855000,3266228.1,28284210.5,0,2382.5,77.2,NaN,,0,0,12000,"2023-02-14T10:04:00.000Z",1676369040000,12000,12000,12000,0,0,100,,,25.9,NaN,,2000,13300,2000,24000000,,,24000000
271.9,-12500,-152335000,17060000,169395000,210455000,3266228.1,28284210.5,1.9,2382.5,77.2,0,,-4000,-48600000,12150,"2023-02-14T10:06:00.000Z",1676369160000,12150,12150,12150,0,100,0,,1.7,,Infinity,4000,4000,17300,,48600000,,48600000,
