┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬─────┬─────┬─────┬───────┬───────────┬───────────┬───────────────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd │ auk │ rsd │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │  bu   │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼─────┼─────┼─────┼───────┼───────────┼───────────┼───────────────┼───────┼──────────┼─────┤
│    0    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │ 300 │ 180000 │    300    │   300   │  180000  │  180000  │ 1672997040000 │ '2023-01-06T09:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 4330 │ 30  │  0  │ 10  │ -300  │  -180000  │   -300    │    -180000    │       │          │     │
│    1    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │    400    │   100   │  70000   │  250000  │ 1672997520000 │ '2023-01-06T09:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │  100  │   70000   │   -200    │    -110000    │  100  │  70000   │  0  │
│    2    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │    500    │   100   │  70000   │  320000  │ 1672998720000 │ '2023-01-06T09:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │  100  │   70000   │   -100    │    -40000     │  100  │  70000   │  0  │
│    3    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   14800   │  14300  │ 10010000 │ 10330000 │ 1672999200000 │ '2023-01-06T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │ 14300 │ 10010000  │   14200   │    9970000    │ 14300 │ 10010000 │ 3.3 │
│    4    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │   14900   │   100   │  80000   │ 10410000 │ 1672999440000 │ '2023-01-06T10:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │  100  │   80000   │   14300   │   10050000    │  100  │  80000   │  0  │
│    5    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │   15100   │   200   │  160000  │ 10570000 │ 1673000520000 │ '2023-01-06T10:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │  200  │  160000   │   14500   │   10210000    │  200  │  160000  │  0  │
│    6    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │   15500   │   400   │  320000  │ 10890000 │ 1673000760000 │ '2023-01-06T10:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │  400  │  320000   │   14900   │   10530000    │  400  │  320000  │ 0.1 │
│    7    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │   17100   │  1600   │ 1280000  │ 12170000 │ 1673013480000 │ '2023-01-06T13:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │ 1600  │  1280000  │   16500   │   11810000    │ 1600  │ 1280000  │ 0.4 │
│    8    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │   40100   │  23000  │ 18400000 │ 30570000 │ 1673013600000 │ '2023-01-06T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │ 23000 │ 18400000  │   39500   │   30210000    │ 23000 │ 18400000 │ 5.3 │
│    9    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │   43600   │  3500   │ 2800000  │ 33370000 │ 1673016360000 │ '2023-01-06T14:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4330 │ 30  │  0  │     │ 3500  │  2800000  │   43000   │   33010000    │ 3500  │ 2800000  │ 0.8 │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴─────┴─────┴─────┴───────┴───────────┴───────────┴───────────────┴───────┴──────────┴─────┘

